"CODIGO_DANE_MPIO_HOSPEDAJE","PIB_Dep_2023","Poblacion_Total","MDM_Texto","Valor_Transito_Superior","Cobertura_Acueducto","Indice_Capacidad","Indice_Positivo"
"13549",56626.16,26726.32,"G5- Nivel Bajo",10.77,63.45,-2.42436389364846,0.168278915577561
"13620",56626.16,8793.12,"G3- Nivel Medio",19.75,83.58,-0.936255444272378,0.425217952197235
"13654",56626.16,25954.83,"G4- Nivel Medio Bajo",52.67,56.23,-0.14151280745043,0.562439407764688
"13657",56626.16,40386.05,"G4- Nivel Medio Bajo",38.08,52.47,-0.823967560699753,0.444605746575601
"13670",56626.16,29820.73,"G3- Nivel Medio",43.4,84.03,0.0904010220629135,0.602481997374955
"13673",56626.16,16088.55,"G4- Nivel Medio Bajo",39.18,81.85,-0.362295199333012,0.52431878886982
"13683",56626.16,22960.88,"G2- Nivel Medio Alto",24.43,80.07,-0.227116322364177,0.547658976498124
"13688",56626.16,36165.27,"G4- Nivel Medio Bajo",43.24,51.8,-0.610800051299253,0.481411568440898
"13744",56626.16,20118.52,"G3- Nivel Medio",50,35.16,-0.31385782656378,0.532682058294795
"13760",56626.16,11705.08,"G4- Nivel Medio Bajo",25.86,54.53,-1.32212171523903,0.358593703159629
"15001",41792.52,187333.32,"G1- Nivel Alto",62.92,92.92,2.6990580019466,1.05289662378443
"15022",41792.52,2100.69,"G4- Nivel Medio Bajo",41.67,22.98,-1.08485402922661,0.399560697662329
"15047",41792.52,16531.24,"G2- Nivel Medio Alto",38.06,93.94,0.556458498096451,0.682952180144
"15097",41792.52,5472.12,"G3- Nivel Medio",29.09,80.01,-0.583639554258532,0.48610114059317
"15104",41792.52,5500.15,"G2- Nivel Medio Alto",35.29,84.62,0.305556040239084,0.639630985486172
"15131",41792.52,3384.59,"G3- Nivel Medio",41.46,100,0.231859391116119,0.626906411524045
"15176",41792.52,60784.92,"G1- Nivel Alto",46.75,74.28,1.73865191380287,0.887071468262472
"15180",41792.52,4245.75,"G4- Nivel Medio Bajo",38.78,57.61,-0.721301398560254,0.462332240101407
"15183",41792.52,8456.42,"G4- Nivel Medio Bajo",24.39,60.92,-1.29545083027713,0.363198738156088
"15187",41792.52,3045.21,"G2- Nivel Medio Alto",9.52,100,-0.589381445828308,0.485109736983486
"15218",41792.52,2993.29,"G3- Nivel Medio",53.57,57.37,0.153288926399736,0.613340317252185
"15223",41792.52,11345.12,"G4- Nivel Medio Bajo",56.25,95.17,0.56193444183652,0.683897664802559
"15224",41792.52,4070.54,"G2- Nivel Medio Alto",34.85,94.02,0.419100046578143,0.659235663905226
"15238",41792.52,132941.69,"G1- Nivel Alto",61.1,97.07,2.67904833391138,1.0494417244925
"15276",41792.52,3508.5,"G4- Nivel Medio Bajo",56.25,100,0.630030534535943,0.695655238293315
"15299",41792.52,19462.63,"G2- Nivel Medio Alto",43.79,98.37,0.86611974589755,0.736418755595419
"15322",41792.52,11570.34,"G2- Nivel Medio Alto",40.37,43.84,-0.0502214626214032,0.578201908274593
"15325",41792.52,3576.8,"G2- Nivel Medio Alto",22.58,44.05,-0.814759808800713,0.446195570827566
"15367",41792.52,7804.24,"G1- Nivel Alto",38.16,99.42,1.72249879772059,0.884282447014508
"15368",41792.52,4220.23,"G3- Nivel Medio",36.96,17.33,-1.12780910885054,0.392144009193742
"15403",41792.52,3271.52,"G3- Nivel Medio",36,100,-0.00369680845700895,0.586234924836709
"15407",41792.52,17675.93,"G1- Nivel Alto",40.53,89.03,1.67826157807502,0.876644382326929
"15425",41792.52,5405.88,"G2- Nivel Medio Alto",22.22,35.96,-0.9443484174236,0.423820607315727
"15455",41792.52,9531.48,"G1- Nivel Alto",50.63,56.97,1.66199725358312,0.873836159668176
"15466",41792.52,4532.33,"G3- Nivel Medio",31.11,54.32,-0.858684650018089,0.438611441867881
"15469",41792.52,24405.61,"G2- Nivel Medio Alto",29.13,87.71,0.0833649089439015,0.601267131531606
"15491",41792.52,17382.27,"G1- Nivel Alto",61.71,62.03,2.21135116228476,0.968688429423268
"15522",41792.52,1862.37,"G3- Nivel Medio",53.57,10.86,-0.502435560442948,0.500121943948862
"15537",41792.52,4564.38,"G2- Nivel Medio Alto",50,88.04,0.988394339047883,0.75753087022677
"15572",41792.52,50716.59,"G1- Nivel Alto",42.21,57.49,1.30607151352868,0.812381487600376
